init,time,accuracy,precision,recall,fscore
svc,0.388806,0.974747,0.975153,0.974747,0.974804
rbf_svc,0.854850,0.944444,0.962166,0.944444,0.948446
nu_svc,1.361135,0.932660,0.935737,0.932660,0.932959
lin_svc,0.403576,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.415892,0.942761,0.945108,0.942761,0.942691
knn-auto,0.286107,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.163852,0.969697,0.971286,0.969697,0.969738
knn-brute,0.222701,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.227295,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.944925,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.008651,0.865320,0.869565,0.865320,0.866152
gaussiannb,0.037911,0.794613,0.841574,0.794613,0.797305
randfc,0.068215,0.936027,0.938655,0.936027,0.935791
dt_classification,0.019488,0.819865,0.823472,0.819865,0.819781
logreg,0.431298,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.124566,0.924242,0.927668,0.924242,0.925284
passiveac,0.049191,0.924242,0.927668,0.924242,0.925284
