init,time,accuracy,precision,recall,fscore
svc,0.393438,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.066799,0.944444,0.962166,0.944444,0.948446
nu_svc,1.136290,0.932660,0.935737,0.932660,0.932959
lin_svc,0.441202,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.396511,0.942761,0.945108,0.942761,0.942691
knn-auto,0.214300,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.100209,0.969697,0.971286,0.969697,0.969738
knn-brute,0.171620,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.210415,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.662752,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.030755,0.865320,0.869565,0.865320,0.866152
gaussiannb,0.064407,0.796296,0.843092,0.796296,0.799429
dt_classification,0.028750,0.819865,0.823472,0.819865,0.819781
logreg,0.431822,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.046600,0.924242,0.927668,0.924242,0.925284
passiveac,0.023745,0.924242,0.927668,0.924242,0.925284
