init,time,accuracy,precision,recall,fscore
svc,0.405486,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.898133,0.077441,0.005997,0.077441,0.011132
nu_svc,1.523146,0.932660,0.935737,0.932660,0.932959
lin_svc,0.400569,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.415286,0.942761,0.945108,0.942761,0.942691
knn-auto,0.257114,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.245024,0.969697,0.971286,0.969697,0.969738
knn-brute,0.192225,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.313232,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,4.004789,0.973064,0.974624,0.973064,0.973176
logreg,0.385596,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.111619,0.934343,0.936444,0.934343,0.934802
