init,time,accuracy,precision,recall,fscore
svc,0.409377,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.145839,0.944444,0.962166,0.944444,0.948446
nu_svc,1.449959,0.932660,0.935737,0.932660,0.932959
lin_svc,0.408156,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.409882,0.942761,0.945108,0.942761,0.942691
knn-auto,0.156564,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.155679,0.969697,0.971286,0.969697,0.969738
knn-brute,0.241827,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.479680,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.544060,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.096609,0.851852,0.855789,0.851852,0.852395
gaussiannb,0.062088,0.090909,0.008264,0.090909,0.015152
multinomianb,0.012386,0.090909,0.008264,0.090909,0.015152
logreg,0.393099,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.016819,0.934343,0.936444,0.934343,0.934802
