init,time,accuracy,precision,recall,fscore
svc,0.298601,0.974747,0.975153,0.974747,0.974804
rbf_svc,0.973244,0.944444,0.962166,0.944444,0.948446
nu_svc,1.517646,0.932660,0.935737,0.932660,0.932959
lin_svc,0.393395,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.403676,0.942761,0.945108,0.942761,0.942691
knn-auto,0.150619,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.109667,0.969697,0.971286,0.969697,0.969738
knn-brute,0.233861,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.241498,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.847782,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.076245,0.851852,0.855789,0.851852,0.852395
gaussiannb,0.029605,0.090909,0.008264,0.090909,0.015152
multinomianb,0.012878,0.090909,0.008264,0.090909,0.015152
logreg,0.518914,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.109217,0.934343,0.936444,0.934343,0.934802
