init,time,accuracy,precision,recall,fscore
svc,0.282090,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.164491,0.944444,0.962166,0.944444,0.948446
nu_svc,1.196186,0.932660,0.935737,0.932660,0.932959
lin_svc,0.340393,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.426552,0.942761,0.945108,0.942761,0.942691
knn-auto,0.209434,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.158827,0.969697,0.971286,0.969697,0.969738
knn-brute,0.332184,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.228920,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.775853,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.007036,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.010026,0.794613,0.841574,0.794613,0.797305
randfc,0.064807,0.944444,0.946437,0.944444,0.944593
dt_classification,0.057628,0.826599,0.832417,0.826599,0.827944
logreg,0.479469,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.058682,0.936027,0.937742,0.936027,0.936450
passiveac,0.014730,0.936027,0.937742,0.936027,0.936450
