init,time,accuracy,precision,recall,fscore
svc,0.410250,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.108028,0.944444,0.962166,0.944444,0.948446
nu_svc,1.359036,0.932660,0.935737,0.932660,0.932959
lin_svc,0.508921,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.579122,0.942761,0.945108,0.942761,0.942691
knn-auto,0.255924,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.158218,0.969697,0.971286,0.969697,0.969738
knn-brute,0.276267,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.232744,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,2.945718,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.049274,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.051342,0.794613,0.841574,0.794613,0.797305
randfc,0.063886,0.944444,0.946437,0.944444,0.944593
dt_classification,0.060390,0.826599,0.832417,0.826599,0.827944
logreg,0.400695,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.015001,0.936027,0.937742,0.936027,0.936450
passiveac,0.015393,0.936027,0.937742,0.936027,0.936450
