init,time,accuracy,precision,recall,fscore
svc,0.409817,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.163354,0.944444,0.962166,0.944444,0.948446
nu_svc,1.559707,0.932660,0.935737,0.932660,0.932959
lin_svc,0.414182,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.503024,0.942761,0.945108,0.942761,0.942691
knn-auto,0.268583,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.167086,0.969697,0.971286,0.969697,0.969738
knn-brute,0.217182,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.224749,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.183138,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.010023,0.865320,0.869565,0.865320,0.866152
gaussiannb,0.091446,0.794613,0.841574,0.794613,0.797305
randfc,0.077068,0.936027,0.938655,0.936027,0.935791
dt_classification,0.031612,0.819865,0.823472,0.819865,0.819781
logreg,0.390559,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.024218,0.924242,0.927668,0.924242,0.925284
passiveac,0.023320,0.924242,0.927668,0.924242,0.925284
