init,time,accuracy,precision,recall,fscore
svc,0.402939,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.144515,0.944444,0.962166,0.944444,0.948446
nu_svc,1.502824,0.932660,0.935737,0.932660,0.932959
lin_svc,0.441247,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.467330,0.942761,0.945108,0.942761,0.942691
knn-auto,0.232358,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.162531,0.969697,0.971286,0.969697,0.969738
knn-brute,0.271553,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.236108,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.898067,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.007288,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.038802,0.794613,0.841574,0.794613,0.797305
logreg,0.544274,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.138281,0.936027,0.937742,0.936027,0.936450
passiveac,0.143748,0.936027,0.937742,0.936027,0.936450
