init,time,accuracy,precision,recall,fscore
svc,0.402148,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.134957,0.944444,0.962166,0.944444,0.948446
nu_svc,1.457876,0.932660,0.935737,0.932660,0.932959
lin_svc,0.420450,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.466110,0.942761,0.945108,0.942761,0.942691
knn-auto,0.155484,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.164961,0.969697,0.971286,0.969697,0.969738
knn-brute,0.161659,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.133269,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.194071,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.005697,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.029732,0.794613,0.841574,0.794613,0.797305
logreg,0.402190,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.125859,0.934343,0.936444,0.934343,0.934802
passiveac,0.167930,0.934343,0.936444,0.934343,0.934802
