init,time,accuracy,precision,recall,fscore
svc,0.401812,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.157133,0.944444,0.962166,0.944444,0.948446
nu_svc,1.500866,0.932660,0.935737,0.932660,0.932959
lin_svc,0.508479,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.514446,0.942761,0.945108,0.942761,0.942691
knn-auto,0.225890,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.102415,0.969697,0.971286,0.969697,0.969738
knn-brute,0.246731,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.224584,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.867934,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.073326,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.053436,0.794613,0.841574,0.794613,0.797305
logreg,0.388162,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.025093,0.936027,0.937742,0.936027,0.936450
passiveac,0.035299,0.936027,0.937742,0.936027,0.936450
