init,time,accuracy,precision,recall,fscore
svc,0.402895,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.106728,0.944444,0.962166,0.944444,0.948446
nu_svc,1.489098,0.932660,0.935737,0.932660,0.932959
lin_svc,0.519154,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.543323,0.942761,0.945108,0.942761,0.942691
knn-auto,0.239031,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.172804,0.969697,0.971286,0.969697,0.969738
knn-brute,0.183454,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.505909,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.689512,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.035583,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.060260,0.794613,0.841574,0.794613,0.797305
logreg,0.455549,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.109481,0.936027,0.937742,0.936027,0.936450
passiveac,0.051885,0.936027,0.937742,0.936027,0.936450
