init,time,accuracy,precision,recall,fscore
svc,0.364773,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.051983,0.944444,0.962166,0.944444,0.948446
nu_svc,1.342286,0.932660,0.935737,0.932660,0.932959
lin_svc,0.451829,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.530536,0.942761,0.945108,0.942761,0.942691
knn-auto,0.227020,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.161062,0.969697,0.971286,0.969697,0.969738
knn-brute,0.255533,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.221551,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.420921,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.087714,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.026188,0.794613,0.841574,0.794613,0.797305
randfc,0.058451,0.925926,0.928839,0.925926,0.925583
dt_classification,0.040954,0.826599,0.832417,0.826599,0.827944
logreg,0.403791,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.039181,0.936027,0.937742,0.936027,0.936450
passiveac,0.038740,0.936027,0.937742,0.936027,0.936450
