init,time,accuracy,precision,recall,fscore
svc,0.405013,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.150624,0.944444,0.962166,0.944444,0.948446
nu_svc,1.413024,0.932660,0.935737,0.932660,0.932959
lin_svc,0.384793,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.404663,0.942761,0.945108,0.942761,0.942691
knn-auto,0.230272,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.160052,0.969697,0.971286,0.969697,0.969738
knn-brute,0.127582,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.227986,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.561792,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.052622,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.048091,0.794613,0.841574,0.794613,0.797305
randfc,0.081903,0.936027,0.937720,0.936027,0.935677
dt_classification,0.065155,0.831650,0.834547,0.831650,0.832122
logreg,0.428958,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.050544,0.936027,0.937742,0.936027,0.936450
passiveac,0.066089,0.936027,0.937742,0.936027,0.936450
