init,time,accuracy,precision,recall,fscore
svc,0.368425,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.053145,0.944444,0.962166,0.944444,0.948446
nu_svc,1.201675,0.932660,0.935737,0.932660,0.932959
lin_svc,0.401425,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.477298,0.942761,0.945108,0.942761,0.942691
knn-auto,0.218554,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.163369,0.969697,0.971286,0.969697,0.969738
knn-brute,0.187647,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.243133,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.354918,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.026137,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.021656,0.794613,0.841574,0.794613,0.797305
randfc,0.108610,0.936027,0.937720,0.936027,0.935677
dt_classification,0.066594,0.831650,0.834547,0.831650,0.832122
logreg,0.460729,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.101330,0.936027,0.937742,0.936027,0.936450
passiveac,0.032792,0.936027,0.937742,0.936027,0.936450
