init,time,accuracy,precision,recall,fscore
svc,0.341775,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.081503,0.944444,0.962166,0.944444,0.948446
nu_svc,1.494511,0.932660,0.935737,0.932660,0.932959
lin_svc,0.403523,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.416465,0.942761,0.945108,0.942761,0.942691
knn-auto,0.277312,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.156633,0.969697,0.971286,0.969697,0.969738
knn-brute,0.115280,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.221306,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.477501,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.026153,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.057042,0.794613,0.841574,0.794613,0.797305
randfc,0.071010,0.936027,0.937720,0.936027,0.935677
dt_classification,0.065303,0.831650,0.834547,0.831650,0.832122
logreg,0.410992,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.017148,0.936027,0.937742,0.936027,0.936450
passiveac,0.023624,0.936027,0.937742,0.936027,0.936450
